Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW44,OUT027,
FDT24,OUT017,
FDT12,OUT019,
NCS38,OUT035,
FDO39,OUT035,
FDA13,OUT046,
FDO48,OUT035,
DRJ01,OUT017,
FDD53,OUT018,
NCT05,OUT049,
FDQ51,OUT045,
FDU60,OUT013,
FDC59,OUT046,
FDP36,OUT035,
NCM19,OUT017,
FDL16,OUT035,
FDE50,OUT018,
NCR18,OUT013,
NCD30,OUT035,
FDH31,OUT013,
FDD56,OUT019,
FDC47,OUT049,
FDZ21,OUT045,
FDM01,OUT049,
FDF24,OUT013,
FDW23,OUT017,
FDY52,OUT018,
DRH37,OUT027,
DRO47,OUT027,
FDR25,OUT049,
FDQ24,OUT027,
DRJ51,OUT018,
NCU06,OUT035,
NCV18,OUT018,
NCC06,OUT027,
FDZ01,OUT018,
FDT14,OUT017,
FDD11,OUT019,
FDN09,OUT017,
NCO18,OUT010,
FDZ50,OUT045,
FDS44,OUT013,
FDI36,OUT045,
FDA26,OUT010,
NCY53,OUT049,
FDF32,OUT049,
FDF59,OUT010,
FDB20,OUT046,
DRH11,OUT035,
FDT03,OUT049,
NCH06,OUT035,
FDR55,OUT049,
FDI10,OUT035,
FDZ12,OUT045,
FDM12,OUT049,
DRB25,OUT045,
NCS41,OUT013,
NCT53,OUT049,
NCD55,OUT013,
FDY08,OUT049,
NCP55,OUT049,
FDA33,OUT013,
FDQ33,OUT013,
FDE45,OUT027,
FDT26,OUT013,
NCV53,OUT049,
FDK60,OUT027,
NCJ29,OUT046,
FDI15,OUT045,
FDX21,OUT013,
FDV49,OUT019,
DRO59,OUT046,
FDZ14,OUT045,
FDP32,OUT027,
FDC33,OUT017,
FDT14,OUT010,
NCN54,OUT027,
FDR57,OUT027,
DRK12,OUT046,
FDX52,OUT049,
FDX08,OUT010,
FDP10,OUT010,
NCP50,OUT045,
NCL06,OUT013,
FDP25,OUT013,
FDE53,OUT013,
FDL27,OUT017,
FDC35,OUT049,
DRJ47,OUT010,
FDD16,OUT018,
NCN42,OUT049,
FDC38,OUT027,
NCO07,OUT045,
FDQ20,OUT049,
FDI32,OUT046,
FDN20,OUT010,
DRJ51,OUT027,
FDU08,OUT045,
DRN37,OUT019,
FDD05,OUT010,
FDW15,OUT046,
FDI52,OUT046,
DRM11,OUT049,
NCO06,OUT045,
FDU38,OUT049,
FDU59,OUT018,
FDJ10,OUT046,
FDM13,OUT049,
NCJ30,OUT019,
FDM45,OUT018,
FDP36,OUT045,
NCD30,OUT010,
FDN48,OUT017,
FDY32,OUT049,
FDU47,OUT046,
FDF17,OUT019,
FDP34,OUT017,
FDA47,OUT049,
DRD27,OUT027,
FDW38,OUT045,
FDZ15,OUT019,
FDZ03,OUT027,
NCN19,OUT049,
FDG02,OUT035,
FDS31,OUT035,
FDW43,OUT019,
FDZ47,OUT010,
FDO57,OUT017,
NCL07,OUT013,
NCV42,OUT013,
FDP40,OUT017,
FDP48,OUT019,
FDH21,OUT017,
NCP02,OUT049,
FDK24,OUT049,
FDC41,OUT045,
FDF08,OUT017,
FDO49,OUT017,
FDS56,OUT027,
FDX46,OUT018,
FDQ07,OUT013,
FDC32,OUT010,
FDT21,OUT019,
FDG58,OUT045,
FDW14,OUT049,
DRA12,OUT027,
FDV27,OUT013,
DRD25,OUT013,
DRF48,OUT027,
FDX24,OUT017,
DRJ51,OUT046,
FDE45,OUT045,
FDE14,OUT046,
FDG53,OUT045,
FDT08,OUT046,
DRC27,OUT027,
FDG20,OUT035,
FDC21,OUT046,
FDV31,OUT018,
FDB58,OUT045,
FDV23,OUT046,
FDA25,OUT019,
FDC15,OUT046,
FDU47,OUT049,
FDE23,OUT013,
FDS08,OUT013,
FDW03,OUT027,
FDJ60,OUT018,
FDM34,OUT017,
FDW33,OUT013,
FDZ40,OUT013,
FDE33,OUT018,
NCC06,OUT010,
FDU11,OUT046,
FDL44,OUT017,
NCZ29,OUT017,
FDG28,OUT010,
FDL12,OUT018,
FDD52,OUT017,
FDO15,OUT013,
NCN29,OUT027,
FDW36,OUT013,
FDB21,OUT046,
FDZ28,OUT013,
FDY10,OUT035,
DRG39,OUT017,
FDN28,OUT013,
FDV15,OUT035,
DRI13,OUT035,
FDH20,OUT046,
FDY51,OUT013,
FDE16,OUT013,
FDX40,OUT018,
FDC48,OUT018,
FDS14,OUT046,
FDX56,OUT017,
FDI10,OUT046,
FDI14,OUT013,
DRM48,OUT013,
NCH07,OUT027,
FDY26,OUT013,
FDD02,OUT027,
FDM12,OUT046,
DRF01,OUT010,
FDV36,OUT046,
DRI59,OUT013,
FDV03,OUT018,
FDO39,OUT017,
NCB07,OUT018,
FDH38,OUT027,
FDZ13,OUT035,
NCZ30,OUT046,
NCA06,OUT035,
FDB04,OUT049,
FDN50,OUT013,
NCG06,OUT049,
NCY17,OUT018,
FDC23,OUT046,
FDK33,OUT049,
FDR03,OUT049,
FDZ07,OUT045,
FDO38,OUT013,
FDS59,OUT046,
DRM11,OUT019,
FDX52,OUT027,
DRJ35,OUT018,
NCP53,OUT046,
FDW15,OUT019,
DRI47,OUT045,
DRZ11,OUT035,
FDS02,OUT013,
DRD49,OUT018,
FDW38,OUT049,
FDR21,OUT019,
FDE40,OUT013,
FDI02,OUT045,
FDQ04,OUT045,
FDY14,OUT017,
NCT54,OUT046,
DRD25,OUT017,
DRE01,OUT045,
FDJ12,OUT010,
NCZ05,OUT049,
DRB25,OUT019,
NCC31,OUT045,
FDM16,OUT045,
DRG11,OUT049,
FDV24,OUT027,
FDV43,OUT046,
FDG05,OUT018,
FDV23,OUT010,
FDI58,OUT018,
FDQ11,OUT017,
FDC05,OUT027,
FDF40,OUT013,
FDU02,OUT018,
FDT32,OUT013,
NCF06,OUT017,
FDT46,OUT013,
FDR58,OUT010,
FDY04,OUT046,
FDT58,OUT045,
FDE46,OUT049,
DRH11,OUT017,
DRI51,OUT046,
FDC35,OUT017,
FDP45,OUT035,
FDC45,OUT017,
FDU01,OUT045,
FDJ53,OUT010,
FDJ46,OUT017,
FDX07,OUT013,
NCI30,OUT049,
FDE47,OUT027,
FDV48,OUT045,
FDN16,OUT019,
FDM52,OUT013,
FDA32,OUT027,
FDH05,OUT017,
FDW25,OUT010,
FDQ09,OUT046,
NCM17,OUT010,
DRM59,OUT046,
FDV47,OUT027,
DRE15,OUT035,
FDS25,OUT010,
NCZ05,OUT018,
NCV05,OUT019,
DRM37,OUT046,
FDV58,OUT027,
FDN22,OUT027,
NCO06,OUT049,
FDT56,OUT019,
FDM02,OUT013,
FDA09,OUT046,
NCC06,OUT035,
NCL54,OUT049,
NCB55,OUT017,
FDB12,OUT017,
NCA54,OUT049,
NCS38,OUT049,
FDC02,OUT049,
FDK44,OUT019,
FDE16,OUT035,
NCS05,OUT035,
FDZ59,OUT045,
FDI20,OUT017,
FDQ14,OUT046,
FDF53,OUT017,
FDW25,OUT017,
NCQ43,OUT010,
FDX52,OUT013,
FDE28,OUT045,
FDN15,OUT017,
FDO28,OUT017,
FDQ33,OUT045,
FDM22,OUT010,
FDJ03,OUT017,
FDI16,OUT045,
FDI09,OUT027,
FDX55,OUT013,
FDS23,OUT027,
DRC12,OUT045,
FDH41,OUT049,
FDN01,OUT013,
FDV55,OUT045,
NCJ19,OUT013,
NCY29,OUT010,
FDP03,OUT018,
FDZ52,OUT045,
FDH31,OUT010,
FDQ19,OUT018,
FDS15,OUT035,
FDN32,OUT017,
FDH32,OUT049,
FDF33,OUT017,
FDJ22,OUT046,
FDG56,OUT010,
FDC05,OUT046,
FDK09,OUT013,
NCV29,OUT045,
NCC43,OUT019,
NCA42,OUT049,
FDC10,OUT046,
FDC16,OUT013,
NCL17,OUT013,
FDA51,OUT035,
FDW01,OUT017,
NCF30,OUT045,
FDN49,OUT013,
FDY20,OUT045,
FDC15,OUT045,
FDY24,OUT046,
NCG43,OUT017,
FDA48,OUT013,
NCF55,OUT017,
FDL38,OUT049,
NCQ29,OUT018,
FDC34,OUT017,
FDP36,OUT027,
FDN50,OUT010,
FDO23,OUT049,
FDT56,OUT013,
FDT13,OUT027,
FDZ03,OUT013,
FDQ03,OUT010,
FDU44,OUT045,
FDD03,OUT049,
NCH30,OUT013,
FDS60,OUT010,
FDG08,OUT046,
FDX38,OUT017,
FDD22,OUT017,
FDW51,OUT013,
FDL09,OUT017,
FDZ60,OUT045,
NCH07,OUT046,
NCQ41,OUT049,
FDW04,OUT049,
FDI08,OUT027,
FDR19,OUT019,
FDV13,OUT046,
FDB52,OUT017,
FDZ48,OUT027,
NCO14,OUT049,
FDZ50,OUT013,
FDN27,OUT019,
FDQ60,OUT013,
FDR49,OUT017,
DRJ35,OUT027,
DRI49,OUT017,
FDB47,OUT017,
FDP37,OUT010,
FDR26,OUT049,
FDY31,OUT019,
FDC11,OUT045,
DRP47,OUT035,
NCY54,OUT018,
FDR27,OUT046,
FDQ21,OUT019,
NCQ29,OUT035,
FDJ02,OUT046,
FDE21,OUT018,
FDM39,OUT046,
FDZ01,OUT017,
NCB19,OUT018,
FDU03,OUT046,
FDP27,OUT049,
DRF01,OUT045,
FDM03,OUT049,
FDV01,OUT046,
FDS16,OUT046,
FDO45,OUT035,
NCX06,OUT035,
FDP13,OUT046,
NCR38,OUT018,
FDA01,OUT013,
FDT26,OUT017,
FDD44,OUT027,
FDB26,OUT013,
FDP45,OUT019,
NCP55,OUT046,
FDT23,OUT017,
FDO51,OUT045,
FDA44,OUT046,
NCJ31,OUT018,
FDX37,OUT045,
NCD18,OUT049,
FDN40,OUT027,
FDL33,OUT017,
DRF48,OUT035,
FDW08,OUT035,
FDX39,OUT018,
FDB38,OUT049,
FDY46,OUT018,
NCB06,OUT049,
FDA34,OUT035,
FDA35,OUT045,
FDQ07,OUT035,
FDU32,OUT045,
FDU26,OUT013,
FDU13,OUT010,
FDO09,OUT035,
FDW03,OUT019,
FDB38,OUT013,
FDL26,OUT010,
NCN43,OUT045,
FDH08,OUT045,
NCC31,OUT019,
FDH14,OUT035,
FDL40,OUT017,
FDD20,OUT035,
NCV53,OUT035,
FDD16,OUT045,
FDP24,OUT035,
FDQ25,OUT045,
FDM38,OUT035,
NCT18,OUT010,
FDM34,OUT049,
DRH37,OUT010,
NCE07,OUT013,
FDG12,OUT013,
FDB59,OUT010,
FDS10,OUT018,
FDN21,OUT010,
FDM02,OUT045,
FDO44,OUT049,
NCN17,OUT017,
FDH16,OUT018,
FDL44,OUT046,
FDY47,OUT017,
DRI39,OUT046,
NCX54,OUT018,
FDE59,OUT046,
FDO46,OUT045,
DRE13,OUT046,
FDW14,OUT013,
FDF35,OUT046,
FDO50,OUT019,
DRF49,OUT017,
FDT60,OUT049,
FDP38,OUT045,
FDA31,OUT027,
FDY52,OUT010,
FDD03,OUT027,
FDN52,OUT018,
FDU20,OUT010,
FDD22,OUT035,
NCB55,OUT019,
FDN27,OUT045,
FDD16,OUT013,
FDW48,OUT046,
DRN35,OUT045,
FDX25,OUT049,
DRD49,OUT049,
FDE21,OUT019,
FDN44,OUT035,
DRC01,OUT049,
NCK30,OUT046,
FDU39,OUT013,
FDB49,OUT013,
FDS12,OUT045,
FDR57,OUT018,
FDX22,OUT027,
FDC60,OUT013,
NCE42,OUT049,
NCK42,OUT049,
DRE01,OUT017,
FDE57,OUT018,
DRK59,OUT019,
FDB10,OUT027,
FDQ25,OUT046,
FDY26,OUT017,
FDG28,OUT049,
FDM14,OUT049,
NCH29,OUT049,
FDD48,OUT049,
FDC17,OUT045,
DRH49,OUT027,
FDN44,OUT018,
FDC29,OUT045,
DRK01,OUT019,
FDD48,OUT017,
FDB59,OUT013,
FDY45,OUT010,
FDX60,OUT035,
FDT09,OUT010,
DRB24,OUT018,
FDL13,OUT035,
FDN16,OUT035,
FDK57,OUT013,
FDO22,OUT027,
FDC57,OUT010,
FDZ13,OUT027,
FDW27,OUT013,
FDX10,OUT049,
FDY08,OUT018,
FDA49,OUT017,
FDC32,OUT018,
FDO04,OUT035,
NCZ54,OUT013,
FDY40,OUT045,
FDW36,OUT045,
FDE11,OUT017,
DRE37,OUT045,
NCK19,OUT017,
FDT19,OUT035,
FDE56,OUT045,
FDZ57,OUT010,
FDB35,OUT035,
FDF09,OUT010,
FDO34,OUT046,
FDA55,OUT046,
NCM18,OUT035,
FDJ20,OUT019,
DRQ35,OUT019,
FDG02,OUT013,
NCU29,OUT018,
FDL27,OUT027,
NCA54,OUT035,
FDJ32,OUT035,
FDB21,OUT019,
FDR46,OUT035,
FDZ32,OUT046,
DRF36,OUT017,
NCU54,OUT017,
NCI31,OUT017,
DRA59,OUT035,
NCC55,OUT045,
FDE44,OUT018,
NCN26,OUT018,
FDC11,OUT049,
FDV24,OUT035,
FDR40,OUT019,
NCQ17,OUT049,
FDC46,OUT045,
NCM18,OUT046,
FDK16,OUT046,
FDI28,OUT017,
FDS11,OUT018,
DRD13,OUT046,
FDL36,OUT035,
FDI27,OUT013,
FDJ53,OUT019,
FDS44,OUT045,
FDE28,OUT046,
FDQ33,OUT018,
FDB37,OUT017,
FDQ31,OUT045,
NCQ05,OUT046,
FDE10,OUT013,
FDF38,OUT017,
FDE50,OUT019,
DRG37,OUT010,
NCH06,OUT049,
FDY14,OUT045,
FDO27,OUT017,
FDQ19,OUT049,
FDZ26,OUT019,
FDN51,OUT013,
FDK20,OUT035,
FDD40,OUT018,
DRI25,OUT018,
FDH56,OUT017,
FDI36,OUT027,
DRH11,OUT018,
NCV18,OUT017,
DRI01,OUT049,
DRE48,OUT049,
FDS51,OUT035,
FDM38,OUT017,
FDB60,OUT027,
FDY58,OUT035,
FDY22,OUT045,
FDF11,OUT027,
FDZ51,OUT035,
FDQ45,OUT017,
FDF17,OUT035,
NCF31,OUT027,
FDA37,OUT013,
FDO51,OUT046,
FDF34,OUT013,
FDD57,OUT018,
FDO37,OUT046,
FDR49,OUT049,
FDS39,OUT049,
FDI48,OUT027,
DRM35,OUT049,
FDV57,OUT035,
FDZ55,OUT013,
FDI28,OUT035,
FDS21,OUT045,
FDT34,OUT013,
DRI25,OUT035,
FDT47,OUT010,
DRH39,OUT045,
NCD54,OUT045,
FDU16,OUT027,
NCW29,OUT045,
FDV25,OUT027,
FDM56,OUT035,
FDZ04,OUT027,
FDG59,OUT019,
FDI56,OUT045,
FDS33,OUT035,
FDC23,OUT049,
FDT11,OUT049,
FDG17,OUT045,
FDZ44,OUT045,
FDJ52,OUT013,
DRI23,OUT046,
DRE15,OUT010,
NCF07,OUT013,
NCR29,OUT049,
FDE44,OUT019,
FDT23,OUT035,
NCG06,OUT017,
NCU41,OUT010,
FDH46,OUT017,
FDV31,OUT013,
NCT41,OUT027,
FDE22,OUT027,
FDC26,OUT045,
DRF51,OUT017,
NCY53,OUT019,
FDY21,OUT017,
FDL27,OUT013,
FDZ34,OUT049,
NCF43,OUT010,
FDC21,OUT035,
FDL26,OUT013,
FDT25,OUT010,
NCR30,OUT046,
DRL23,OUT019,
NCR05,OUT049,
NCE19,OUT018,
FDY07,OUT035,
FDB10,OUT017,
FDP57,OUT013,
FDU48,OUT019,
FDH48,OUT035,
FDO33,OUT035,
NCU29,OUT045,
FDW35,OUT046,
FDH05,OUT010,
FDP26,OUT049,
DRG27,OUT035,
FDQ33,OUT046,
FDH20,OUT010,
FDV14,OUT046,
DRD01,OUT046,
NCI17,OUT049,
FDF39,OUT010,
FDX37,OUT046,
NCX17,OUT035,
FDN03,OUT013,
NCS41,OUT010,
FDH34,OUT045,
NCX53,OUT018,
FDY31,OUT046,
FDD20,OUT017,
FDE51,OUT045,
FDV27,OUT046,
FDF16,OUT035,
FDZ02,OUT049,
NCK05,OUT045,
FDM12,OUT027,
NCA05,OUT018,
FDX33,OUT045,
FDM25,OUT049,
FDE41,OUT018,
FDW14,OUT045,
NCD30,OUT046,
FDB23,OUT010,
FDF45,OUT046,
FDW20,OUT017,
FDF47,OUT045,
NCR05,OUT019,
DRB01,OUT046,
FDE36,OUT013,
FDU56,OUT049,
FDB23,OUT049,
FDN48,OUT049,
FDS43,OUT013,
NCN05,OUT013,
NCL53,OUT049,
FDL56,OUT046,
FDH17,OUT018,
FDP37,OUT046,
FDG09,OUT019,
FDA55,OUT045,
FDX31,OUT049,
FDJ41,OUT045,
DRC24,OUT045,
FDQ21,OUT035,
NCT54,OUT045,
FDH08,OUT049,
FDY38,OUT018,
DRM11,OUT010,
FDG32,OUT049,
NCH18,OUT046,
FDI20,OUT035,
FDA33,OUT018,
FDN45,OUT013,
FDT45,OUT010,
FDR32,OUT035,
FDA48,OUT017,
FDN23,OUT017,
NCR18,OUT035,
FDD45,OUT046,
FDI22,OUT018,
FDT09,OUT013,
DRC24,OUT027,
FDT39,OUT046,
FDX28,OUT045,
FDA50,OUT018,
FDT33,OUT027,
FDQ60,OUT049,
NCM19,OUT018,
FDF40,OUT046,
NCI30,OUT035,
FDK34,OUT049,
FDA38,OUT027,
FDT02,OUT045,
FDC11,OUT017,
FDD08,OUT046,
NCS29,OUT046,
DRI03,OUT010,
FDK48,OUT035,
FDM52,OUT049,
FDP49,OUT035,
DRA24,OUT046,
NCJ43,OUT049,
FDE11,OUT045,
FDP01,OUT049,
FDQ59,OUT018,
FDA43,OUT019,
FDL14,OUT017,
FDV50,OUT010,
FDT01,OUT027,
NCC42,OUT035,
FDO28,OUT046,
FDD32,OUT019,
FDV45,OUT035,
NCW17,OUT019,
NCJ17,OUT027,
NCF18,OUT049,
FDP01,OUT045,
FDH24,OUT045,
FDI38,OUT027,
FDX03,OUT035,
FDY28,OUT046,
FDN34,OUT018,
FDJ02,OUT045,
FDW40,OUT019,
FDX03,OUT017,
FDE17,OUT027,
FDT58,OUT046,
FDI38,OUT013,
FDW22,OUT035,
FDS15,OUT027,
NCX06,OUT013,
DRK47,OUT035,
FDC23,OUT027,
FDM56,OUT010,
FDP21,OUT046,
FDP58,OUT046,
FDA27,OUT019,
FDK41,OUT019,
NCH42,OUT046,
FDG29,OUT045,
FDW15,OUT018,
FDD28,OUT018,
FDQ37,OUT049,
FDC23,OUT035,
FDV13,OUT035,
FDK33,OUT046,
FDO33,OUT013,
FDN21,OUT017,
NCW06,OUT027,
FDI38,OUT035,
FDC21,OUT027,
NCS05,OUT046,
NCN53,OUT049,
FDV40,OUT010,
FDG60,OUT017,
NCY30,OUT027,
FDM40,OUT045,
NCO30,OUT046,
FDK10,OUT046,
FDM36,OUT045,
FDN10,OUT013,
FDM46,OUT018,
FDX50,OUT049,
FDP33,OUT045,
FDO12,OUT045,
FDC28,OUT013,
FDO31,OUT045,
FDX45,OUT035,
FDV21,OUT049,
FDH04,OUT049,
NCG54,OUT013,
FDO13,OUT046,
FDA09,OUT027,
FDC38,OUT017,
NCO42,OUT046,
FDL45,OUT049,
NCK31,OUT013,
FDM39,OUT017,
FDC22,OUT010,
FDF46,OUT046,
FDQ37,OUT045,
FDH41,OUT010,
FDQ04,OUT046,
NCQ02,OUT027,
FDJ57,OUT027,
NCE07,OUT049,
FDE56,OUT013,
FDI20,OUT049,
FDK36,OUT018,
FDP08,OUT027,
FDF44,OUT017,
NCU53,OUT017,
FDF47,OUT035,
FDS55,OUT010,
FDZ52,OUT010,
FDL04,OUT018,
NCM26,OUT035,
FDX43,OUT049,
FDP52,OUT049,
DRK49,OUT045,
FDE38,OUT013,
DRF13,OUT035,
FDK41,OUT010,
FDJ04,OUT027,
FDZ44,OUT018,
FDS11,OUT013,
FDA55,OUT049,
NCW53,OUT046,
FDB49,OUT027,
FDD23,OUT017,
NCV42,OUT045,
NCZ29,OUT018,
FDQ26,OUT013,
FDV08,OUT017,
FDC53,OUT049,
FDV58,OUT010,
NCP02,OUT019,
DRI37,OUT045,
FDQ12,OUT049,
FDE33,OUT046,
FDX27,OUT045,
FDM22,OUT017,
NCH30,OUT019,
FDC04,OUT017,
FDO38,OUT046,
FDV52,OUT027,
FDB32,OUT013,
FDV43,OUT018,
FDI24,OUT018,
FDR40,OUT017,
FDW02,OUT049,
FDE44,OUT049,
FDL38,OUT046,
NCT54,OUT010,
DRJ39,OUT010,
FDW55,OUT049,
DRF13,OUT019,
NCW17,OUT049,
FDP13,OUT035,
FDS08,OUT018,
NCP17,OUT035,
NCO53,OUT035,
FDH19,OUT045,
FDJ04,OUT017,
FDG10,OUT049,
FDA40,OUT010,
FDI53,OUT045,
FDU09,OUT010,
FDK60,OUT045,
FDR43,OUT017,
FDW22,OUT017,
DRP47,OUT010,
DRG48,OUT010,
FDA14,OUT035,
FDU49,OUT013,
FDK28,OUT045,
FDT19,OUT046,
NCQ42,OUT045,
FDD03,OUT045,
NCM53,OUT013,
NCX53,OUT045,
FDV14,OUT027,
NCZ54,OUT017,
FDB39,OUT013,
DRC24,OUT046,
FDY36,OUT013,
FDN01,OUT035,
DRH25,OUT046,
FDV08,OUT046,
NCP53,OUT049,
FDU52,OUT010,
NCI42,OUT045,
FDZ14,OUT035,
FDF11,OUT046,
FDQ13,OUT018,
FDO32,OUT010,
DRJ37,OUT018,
FDY43,OUT046,
NCT41,OUT017,
NCV17,OUT045,
FDM04,OUT027,
DRB48,OUT018,
FDM24,OUT013,
FDT37,OUT049,
NCO05,OUT010,
FDL13,OUT046,
FDL15,OUT017,
FDB11,OUT018,
FDL14,OUT019,
FDY10,OUT019,
FDJ40,OUT049,
NCW18,OUT046,
NCY06,OUT013,
DRE13,OUT018,
FDA26,OUT045,
NCE19,OUT010,
FDE33,OUT035,
DRL59,OUT027,
FDY07,OUT046,
FDF57,OUT018,
FDM58,OUT035,
FDP26,OUT027,
FDY32,OUT046,
FDD51,OUT010,
FDU22,OUT018,
FDZ49,OUT018,
NCI42,OUT017,
FDT04,OUT027,
NCU41,OUT045,
FDS56,OUT045,
NCN42,OUT017,
FDK34,OUT046,
FDB03,OUT017,
DRJ25,OUT035,
FDT25,OUT027,
FDN20,OUT013,
FDP09,OUT013,
FDM20,OUT019,
NCG55,OUT046,
NCP14,OUT045,
NCH06,OUT046,
FDV52,OUT013,
NCL07,OUT035,
DRJ11,OUT027,
DRO59,OUT013,
FDW15,OUT010,
NCQ30,OUT035,
NCN54,OUT019,
FDY01,OUT027,
FDX39,OUT035,
FDH53,OUT027,
FDA57,OUT035,
NCC07,OUT010,
FDU28,OUT013,
FDK36,OUT010,
FDR36,OUT018,
NCQ17,OUT035,
FDS28,OUT019,
FDE08,OUT045,
FDU22,OUT046,
FDG41,OUT045,
FDO31,OUT010,
FDM21,OUT019,
FDU40,OUT017,
FDV36,OUT018,
FDT10,OUT027,
FDX38,OUT045,
NCU30,OUT027,
NCV06,OUT049,
FDT16,OUT035,
NCP41,OUT027,
FDZ56,OUT017,
FDC22,OUT035,
FDU10,OUT035,
FDS46,OUT045,
FDO08,OUT049,
NCV42,OUT018,
FDP33,OUT035,
FDJ12,OUT046,
FDH04,OUT045,
NCU54,OUT013,
FDO36,OUT010,
FDT37,OUT027,
FDD14,OUT010,
FDA16,OUT013,
NCS42,OUT019,
FDP10,OUT019,
FDQ28,OUT049,
FDK57,OUT010,
FDK02,OUT013,
FDW47,OUT018,
NCC42,OUT018,
FDQ37,OUT018,
FDL40,OUT046,
DRE13,OUT010,
FDQ34,OUT027,
NCB54,OUT046,
FDS48,OUT049,
FDO15,OUT045,
NCT30,OUT013,
FDU49,OUT027,
FDE21,OUT046,
FDS49,OUT019,
FDT38,OUT027,
FDZ01,OUT045,
FDC41,OUT035,
DRG13,OUT010,
NCZ42,OUT018,
NCM07,OUT045,
NCV17,OUT018,
DRK39,OUT035,
FDS37,OUT018,
FDV12,OUT019,
NCG19,OUT018,
FDS51,OUT013,
NCO14,OUT046,
FDC38,OUT046,
FDN15,OUT046,
NCH42,OUT013,
FDQ22,OUT046,
FDC05,OUT013,
FDZ31,OUT013,
DRJ23,OUT049,
FDC52,OUT035,
DRD12,OUT010,
FDV55,OUT017,
FDD32,OUT046,
FDR01,OUT049,
FDY08,OUT019,
FDQ45,OUT045,
DRN11,OUT027,
NCS05,OUT018,
FDY32,OUT035,
NCD31,OUT045,
NCE06,OUT049,
NCP14,OUT046,
NCF18,OUT019,
FDF14,OUT018,
FDB22,OUT017,
NCH54,OUT049,
FDU27,OUT035,
FDS58,OUT027,
NCU29,OUT035,
FDJ57,OUT013,
FDL56,OUT049,
FDH60,OUT035,
FDN24,OUT018,
FDD02,OUT017,
FDP15,OUT017,
FDB28,OUT027,
DRC49,OUT045,
NCG30,OUT018,
FDJ14,OUT049,
FDL52,OUT045,
NCG19,OUT027,
NCN41,OUT035,
FDW22,OUT013,
FDI02,OUT013,
FDV51,OUT045,
FDV48,OUT046,
NCL17,OUT019,
FDP46,OUT045,
FDU10,OUT045,
FDT37,OUT010,
FDI27,OUT035,
FDN51,OUT046,
FDW07,OUT035,
FDN45,OUT049,
DRN37,OUT027,
DRF48,OUT049,
FDP38,OUT019,
NCX18,OUT027,
FDK45,OUT018,
FDZ37,OUT049,
FDS50,OUT018,
NCR54,OUT018,
NCS17,OUT035,
FDV31,OUT046,
DRE27,OUT017,
FDN60,OUT013,
FDK26,OUT013,
FDX37,OUT018,
FDW31,OUT046,
FDX26,OUT018,
DRL49,OUT019,
FDU49,OUT017,
FDY58,OUT046,
FDN03,OUT045,
NCV06,OUT010,
FDH53,OUT045,
FDG31,OUT018,
NCC06,OUT045,
FDS13,OUT049,
FDP16,OUT035,
FDA35,OUT013,
DRP47,OUT018,
FDY28,OUT010,
FDY20,OUT035,
NCH30,OUT017,
NCR29,OUT019,
NCP05,OUT013,
NCF30,OUT019,
FDA08,OUT035,
FDN51,OUT027,
FDH12,OUT046,
FDY39,OUT017,
NCO53,OUT045,
FDB40,OUT046,
FDH02,OUT049,
FDY11,OUT027,
FDQ09,OUT019,
FDP16,OUT013,
NCF55,OUT018,
FDY09,OUT027,
FDY39,OUT045,
NCU53,OUT049,
NCT41,OUT049,
FDJ45,OUT046,
FDR28,OUT013,
FDN08,OUT013,
FDJ07,OUT049,
FDZ09,OUT027,
FDQ14,OUT017,
FDY12,OUT027,
FDK57,OUT046,
FDD20,OUT049,
FDS36,OUT018,
FDI40,OUT049,
FDJ40,OUT045,
FDE08,OUT013,
DRK01,OUT013,
FDC58,OUT049,
FDE50,OUT046,
FDX48,OUT035,
DRM35,OUT018,
FDG41,OUT013,
FDB52,OUT046,
FDV19,OUT045,
DRG48,OUT017,
FDI26,OUT013,
FDU11,OUT019,
FDF59,OUT019,
FDR07,OUT049,
NCE06,OUT017,
FDE10,OUT046,
NCO55,OUT046,
FDZ13,OUT013,
FDT50,OUT017,
FDH12,OUT010,
FDD21,OUT045,
NCM05,OUT013,
FDK04,OUT013,
FDN33,OUT017,
NCM18,OUT010,
DRC25,OUT049,
FDT47,OUT017,
FDD45,OUT027,
NCD07,OUT018,
NCY54,OUT010,
FDL12,OUT049,
FDL02,OUT017,
FDC60,OUT035,
FDR37,OUT017,
FDY16,OUT017,
FDU26,OUT045,
FDN24,OUT013,
FDH44,OUT013,
FDE23,OUT010,
FDW60,OUT017,
FDQ55,OUT049,
FDV32,OUT027,
FDV03,OUT010,
FDY14,OUT010,
NCL55,OUT027,
DRF25,OUT017,
FDX03,OUT046,
FDF40,OUT045,
FDX24,OUT010,
FDA25,OUT049,
FDH21,OUT018,
FDB47,OUT010,
FDT34,OUT019,
FDS39,OUT010,
NCU05,OUT046,
FDE02,OUT049,
FDL25,OUT035,
FDC50,OUT049,
FDZ32,OUT049,
FDV14,OUT045,
FDR07,OUT045,
FDB26,OUT049,
NCR50,OUT045,
FDP01,OUT018,
FDH57,OUT045,
FDM60,OUT027,
FDA45,OUT017,
FDU55,OUT017,
FDH40,OUT035,
FDG40,OUT019,
FDT12,OUT049,
DRL59,OUT045,
FDT47,OUT018,
FDI60,OUT017,
DRF51,OUT027,
NCK31,OUT049,
FDB08,OUT045,
